CidrBlock,Protocol,Port,Action,FirewallRuleDescription
0.0.0.0/0,TCP,7001,ACCEPT,冗余端口 // clash控制面板
0.0.0.0/0,TCP,7002,ACCEPT,冗余端口
0.0.0.0/0,TCP,7003,ACCEPT,冗余端口
0.0.0.0/0,TCP,7004,ACCEPT,冗余端口
0.0.0.0/0,TCP,7005,ACCEPT,冗余端口
0.0.0.0/0,TCP,7006,ACCEPT,冗余端口
0.0.0.0/0,TCP,7007,ACCEPT,冗余端口
0.0.0.0/0,TCP,7008,ACCEPT,冗余端口
0.0.0.0/0,TCP,7009,ACCEPT,冗余端口
0.0.0.0/0,TCP,7010,ACCEPT,冗余端口
0.0.0.0/0,UDP,9994,ACCEPT,
0.0.0.0/0,TCP,9994,ACCEPT,
0.0.0.0/0,TCP,3388,ACCEPT,
0.0.0.0/0,TCP,3443,ACCEPT,
0.0.0.0/0,UDP,9993,ACCEPT,
0.0.0.0/0,TCP,9797,ACCEPT,
0.0.0.0/0,TCP,9696,ACCEPT,
0.0.0.0/0,TCP,9595,ACCEPT,
0.0.0.0/0,TCP,9494,ACCEPT,
0.0.0.0/0,TCP,9393,ACCEPT,
0.0.0.0/0,TCP,9292,ACCEPT,
0.0.0.0/0,TCP,9191,ACCEPT,
0.0.0.0/0,TCP,8787,ACCEPT,
0.0.0.0/0,TCP,8686,ACCEPT,
0.0.0.0/0,TCP,8585,ACCEPT,
0.0.0.0/0,TCP,8484,ACCEPT,
0.0.0.0/0,TCP,8383,ACCEPT,
0.0.0.0/0,TCP,8282,ACCEPT,
0.0.0.0/0,TCP,9943,ACCEPT,
0.0.0.0/0,TCP,8181,ACCEPT,
0.0.0.0/0,TCP,9000,ACCEPT,
0.0.0.0/0,TCP,8080,ACCEPT,
0.0.0.0/0,TCP,5566,ACCEPT,
0.0.0.0/0,TCP,3306,ACCEPT,MySQL服务 (3306)
0.0.0.0/0,TCP,80,ACCEPT,Web服务HTTP (80)，如 Apache、Nginx
0.0.0.0/0,TCP,443,ACCEPT,Web服务HTTPS (443)，如 Apache、Nginx
0.0.0.0/0,TCP,22,ACCEPT,Linux SSH登录
0.0.0.0/0,TCP,3389,ACCEPT,Windows远程桌面登录
0.0.0.0/0,UDP,3389,ACCEPT,Windows远程桌面登录优化
0.0.0.0/0,ICMP,ALL,ACCEPT,通过Ping测试网络连通性 (放通ALL ICMP)
